ijuniagme	1
kagka	8
jiiniun	1
shikitai	6
aketuk	2
mantin	1
akiámu	1
takaidau	22
akíamu	1
atatui	170
akiínamujui	1
mamikjamu	11
akiínamuk	1
mamikjachmauwai	1
takama	7
akiíntuame	1
akiítaiyai	1
tuwíka	1
nánapeg	1
waáwa	1
nánape	1
yanamunmag	1
akíjatbau	1
peeg	1
akíjuata	1
akikai	3
dapujuk	1
akikbau	4
wakame	3
nejeg	7
imaanik	9
ákikchau	1
baunum	1
akíkmamu	1
diwi	1
akíkmat	1
jaanchin	12
sumakan	1
akikmatainum	1
akikmajai	1
kuichkin	99
awagtukichagme	1
jujechuwe	1
akintuame	1
ijagtai	1
ampin	11
akújame	1
yugkitsan	2
aintug	6
akunáme	1
tsegkeamunum	1
akunáttajai	1
kagkan	2
achikan	8
akupkajai	1
najana	45
akupét	1
wachi	1
akenka	2
akupet	1
akupkámu	2
takasti	52
yaki	91
wakama	2
akupmámak	1
iyaumain	6
wajakme	1
nagki	22
nagkiamu	1
akuúm	1
iyaagme	3
shiyakma	1
amaigkachmajai	1
eemkamau	1
amaígkamu	1
ukunum	25
juwakbaunak	1
amaímakmajai	2
weenak	15
ukugkiagma	1
kuchanum	23
amamát	1
emegkakan	1
waitsan	1
amamkamjai	1
entsanum	7
waja	27
katikman	1
amamamjai	2
tseken	3
wajaitakaman	1
tsakusnum	2
nantu	150
niji	1
nenamunum	1
achimak	58
nayaimpinum	193
amamkiuwai	1
aminak	192
amatnume	1
tita	50
kuchí	7
amasta	1
tsupimakaim	1
amasmek	1
wetá	92
dutika	962
akapen	4
yugkuna	4
inajuk	7
amichan	2
kujanchmajai	1
nain	37
tsegkennum	2
eteutajum	1
susamaitak	2
atija	2
diikma	42
kugkutai	1
yuwawajui	13
luego	1
entregó	1
hijos	1
kujancham	2
para	5
que	14
lleven	1
la	55
patarashca	1
loma	1
dejen	1
horqueta	1
el	15
árbol	2
kaunawajun	1
amikmajai	1
yayamu	16
amiktamu	1
apauchi	1
ámin	1
ausatasan	3
minimjai	2
ampámpag	3
amutia	1
nampich	3
ijituatasa	1
ajak	204
yapau	8
mautai	3
tutaiyama	1
betekaitak	1
ampijatin	130
chichamjuk	25
iwakme	1
ampigbáu	2
umumain	12
umaku	12
jau	73
ampiamu	2
jimagka	2
takakuish	4
amumaínchau	1
emaji	2
tuum	1
umaja	3
amut	1
anagkagtushtaya	1
chagkina	6
anágke	2
iwagtukbau	2
imania	52
pagki	7
anagkegai	1
tupikakui	1
pataetuktakaman	1
daekan	4
anagkemjan	1
iyagmajai	1
apajui	9
emematku	174
anágkuamu	1
kuichik	134
anagkuaku	1
etsagkeamu	1
kasanum	3
anagmachbau	1
buuke	10
anagmamu	5
sumaktajai	4
kasamkae	4
tikichi	36
anagma	3
chichámu	1
anagmasa	1
chichamu	30
nuwenatasa	2
daek	14
anágmati	1
wampag	1
akamainuwe	1
tsetsemakmek	1
anamáta	1
nijakug	1
“ancháu	1
